product,geneName
AHR,AHR
BCMA,TNFRSF17
Bcl-6,Bcl-6
CCR7,CCR7
CD117,KIT
CD11b,ITGAM
CD11c,ITGAX
CD123,IL3RA
CD138,SDC1
CD14,CD14
CD15,FUT4
CD15,FUT9
CD16,FCGR3A
CD16,FCGR3B
CD163,CD163
CD19,CD19
CD193,CCR3
CD1c,CD1C
CD203c,ENPP3
CD206,MRC1
CD25,IL2RA
CD27,CD27
CD3,CD3G
CD3,CD3D
CD3,CD3E
CD3,CD247
CD4,CD4
CD45,PTPRC
CD45RA,PTPRC
CD45RO,PTPRC
CD56,NCAM1
CD62L,SELL
CD63,CD63
CD66b,CEACAM8
CD68,CD68
CD69,CD69
CD8,CD8A
CD8,CD8B
CD80,CD80
CD83,CD83
CD86,CD86
CLEC9A,CLEC9A
CXCR5,CXCR5
FcεR1α,FCER1A
FoxP3,FOXP3
GATA-3,GATA3
Granzyme,GZMB
Granzyme,GZMA
Granzyme,GZMF
HLA-DR,HLA-DRA
HLA-DR,DRB1
HLA-DR,DRB3
HLA-DR,DRB4
HLA-DR,DRB5
IFNγ,IFNG
IL-17,IL17A
IL-21,IL21
IL-22,IL22
IL-4,IL4
IL-9,IL9
NCR,NCR1
NCR,NCR2
NCR,NCR3
PD-1,PDCD1
PU.1,SPI1
Perforin,PRF1
RORγt,Rorc
SIRPα,SIRPA
Siglec-8,SIGLEC8
TCF1,TCF7
TIGIT,TIGIT
TIM-3,HAVCR2
Tox,TOX
Tryptase,TPSAB1
Tryptase,TPSAB2
XCR1,XCR1
iNOS,NOS2
