"Matched_Signature","Matched_SIG_FILE_BASE","Rep","N_Genes","SIG_NAME","SIG_FILE_BASE","File"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",1,224,"RANDOM_MANNE_DN_rep01","RANDOM_MANNE_DN_rep01","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep01.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",2,224,"RANDOM_MANNE_DN_rep02","RANDOM_MANNE_DN_rep02","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep02.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",3,224,"RANDOM_MANNE_DN_rep03","RANDOM_MANNE_DN_rep03","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep03.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",4,224,"RANDOM_MANNE_DN_rep04","RANDOM_MANNE_DN_rep04","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep04.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",5,224,"RANDOM_MANNE_DN_rep05","RANDOM_MANNE_DN_rep05","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep05.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",6,224,"RANDOM_MANNE_DN_rep06","RANDOM_MANNE_DN_rep06","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep06.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",7,224,"RANDOM_MANNE_DN_rep07","RANDOM_MANNE_DN_rep07","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep07.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",8,224,"RANDOM_MANNE_DN_rep08","RANDOM_MANNE_DN_rep08","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep08.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",9,224,"RANDOM_MANNE_DN_rep09","RANDOM_MANNE_DN_rep09","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep09.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",10,224,"RANDOM_MANNE_DN_rep10","RANDOM_MANNE_DN_rep10","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep10.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",11,224,"RANDOM_MANNE_DN_rep11","RANDOM_MANNE_DN_rep11","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep11.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",12,224,"RANDOM_MANNE_DN_rep12","RANDOM_MANNE_DN_rep12","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep12.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",13,224,"RANDOM_MANNE_DN_rep13","RANDOM_MANNE_DN_rep13","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep13.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",14,224,"RANDOM_MANNE_DN_rep14","RANDOM_MANNE_DN_rep14","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep14.csv"
