"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",14,62,622,6711,-0.931234531852545,7431,0.904992598573543,0.50642929231827,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",20,637,339,17083,-0.426814553162688,18092,0.9453349546761,0.509881112466495,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",18,1095,143,5071,-0.175511042915617,6332,0.803695514845231,0.467107237635674,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,125,0,34,0.452567862525621,446,0.0762331838565022,0.106918238321269,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",46,2507,32,2041,-0.0223394373760015,6238,0.334562359730683,0.519256135808981,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.295447153777958,21271,0,0,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",499,8939,89,2487,0.719451549927122,12014,0.248543366072915,0.533150464075805,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,0.396466594639232,1,0,0,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,0.378362108735968,7,0,0,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",60,162,13,77,0.169597747882078,4279,0.0320168263612994,0.572046763914794,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.0681513520876028,500,0,0,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
