"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",57,24,4003,3347,-0.929499943593882,7431,0.458081011976854,0.503459929736889,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,665,0,17427,-0.428084466424549,18092,0.963243422507186,0.481621711226972,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",437,697,1933,3265,-0.175480660207388,6332,0.584649399873658,0.504233466737614,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",231,54,122,39,0.448178273713434,446,0.605381165919282,0.53687288359544,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",941,1911,823,2563,-0.0231566211793894,6238,0.561718499519077,0.553156078189911,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",7988,3281,3528,6474,0.29711377553397,21271,0.679892811809506,0.678651643921397,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,9515,0,2499,0.717126353218229,12014,0.208007324787748,0.104003662385217,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,0.233685173646753,1,0,0,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,5,0,2,0.431456718495712,7,0.285714285714286,0.142857122448982,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",860,1604,561,1254,0.170342448894186,4279,0.494040663706473,0.52198798459561,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,159,0,341,0.0802258654097842,500,0.682,0.340999999318,"immune_aging","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
