"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",16,209,620,6564,-0.469545651952939,7431,0.885479747005787,0.497149707357882,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",19,395,340,17325,-0.650916085882362,18092,0.958655759451691,0.515316797247745,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",5,448,156,5718,-0.624564342708683,6332,0.903821857233102,0.479199698436027,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,139,0,20,0.515619119781076,446,0.0448430493273543,0.0628930813654523,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",45,2404,33,2144,-0.0814442831479115,6238,0.350913754408464,0.524169538229517,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.347463446052097,21271,0,0,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",547,10093,41,1333,0.953976628559032,12014,0.156484101881139,0.523467928297417,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,2.04765537120656,1,0,0,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,0.975684763385035,7,0,0,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",65,201,8,38,0.160323702625932,4279,0.0240710446365973,0.524703380970513,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.0969609088039053,500,0,0,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","biologist"
