"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",129,109,3931,3262,-0.468560228071888,7431,0.456331583905262,0.49971938995621,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,407,0,17685,-0.652535163048235,18092,0.97750386911342,0.488751934529695,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",163,273,2207,3689,-0.624812445910224,6332,0.608338597599495,0.499935888702207,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",233,46,120,47,0.495064233285236,446,0.62780269058296,0.582716497002907,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",881,1709,883,2765,-0.0856994259081796,6238,0.584482205835204,0.558724152540919,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",8477,3162,3039,6593,0.348839608001685,21271,0.708476329274599,0.705982410428528,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,10560,0,1454,0.957556153691825,12014,0.121025470284668,0.0605127351372971,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,2.31482213013765,1,0,0,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,6,0,1,0.957638049435002,7,0.142857142857143,0.0714285612244912,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",890,1555,531,1303,0.156652070545067,4279,0.512502921243281,0.541116359373238,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,136,0,364,-0.0918708553030954,500,0.728,0.363999999272,"immune_aging","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
