"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",3,27,633,6746,0.0455596760440173,7431,0.908222311936482,0.50036528216162,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",0,54,359,17666,-0.0510474498963314,18092,0.976453681185054,0.498476297940267,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",0,65,161,6101,-0.0370823963650337,6332,0.963518635502211,0.494729159828944,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,10,0,149,0.0415965939965609,446,0.334080717488789,0.46855345617262,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",3,182,75,4366,0.0378837871406664,6238,0.700384738698301,0.499221973803924,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.00610203937209917,21271,0,0,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",31,522,557,10904,0.0222818810231477,12014,0.910188113867155,0.503517904537187,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,-0.247604750116015,1,0,0,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,0.817300361699508,7,0,0,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",4,8,69,231,0.0367413836946102,4279,0.0549193736854405,0.510660856203004,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.00950044562349897,500,0,0,"immune_aging","AUCell","HP","gmm_dist_dual","raw","biologist"
