"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",9,13,4051,3358,0.0406125058840736,7431,0.453101870542323,0.499180163022922,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,38,0,18054,-0.0534642579782235,18092,0.997899624143268,0.498949812044055,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",24,33,2346,3929,-0.0426406720470111,6332,0.624289324068225,0.500898727660114,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",15,4,338,89,0.0908442119613463,446,0.233183856502242,0.499741077374135,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",74,144,1690,4330,0.0451685194939887,6238,0.705995511381853,0.50488207489741,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",441,211,11075,9544,0.0141814508997814,21271,0.469418457054205,0.508332306623243,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,541,0,11473,0.0152452252771981,12014,0.95496920259697,0.477484601258741,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,0,0,1,-0.248149634005232,1,1,0.4999995000005,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,1,0,6,0.501856830452054,7,0.857142857142857,0.428571367346948,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",44,116,1377,2742,0.0270777997634538,4279,0.651086702500584,0.495188142885728,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,8,0,492,0.018532568888789,500,0.984,0.491999999016,"immune_aging","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
