"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",7,77,629,6696,-0.60740457641538,7431,0.902032027990849,0.499818809713453,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",15,558,344,17162,-0.180868280863999,18092,0.949425160291842,0.505146443823758,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",21,1212,140,4954,0.633984689961244,6332,0.785691724573594,0.466936495602203,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,104,0,55,0.376098412293733,446,0.123318385650224,0.172955973754994,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",48,2922,30,1626,0.466033602255726,6238,0.268355242064764,0.486452198167332,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.0549733983778605,21271,0,0,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",273,3241,315,8185,-0.320270916193473,12014,0.704011986016314,0.590317195943035,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,0.402958218291631,1,0,0,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,-0.0391405882562067,7,0,0,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",37,106,36,133,0.768668647461095,4279,0.0397289086235102,0.531667330722748,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.17155459762343,500,0,0,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
