"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",50,42,4010,3329,-0.610960395496232,7431,0.454716727223792,0.499928029861667,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,540,0,17552,-0.180092489889359,18092,0.970152553614857,0.485076276780617,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",467,735,1903,3227,0.641414146427616,6332,0.583385975994946,0.505767022861113,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",174,52,179,41,0.377073869911678,446,0.482062780269058,0.466889027971229,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",904,2243,860,2231,0.47243091900908,6238,0.502564924655338,0.505565286560417,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",4602,2388,6914,7367,0.0534733892748981,21271,0.562690987729773,0.577410191527278,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,3457,0,8557,-0.321833918536646,12014,0.712252372232396,0.356126186086555,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,0.27973275181496,1,0,0,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,4,0,3,0.286003408581357,7,0.428571428571429,0.214285683673474,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",942,1959,479,899,0.760804548464859,4279,0.430240710446366,0.488734536985999,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,108,0,392,0.185924893223492,500,0.784,0.391999999216,"immune_aging","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
