"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",6,38,630,6735,-0.802007411283381,7431,0.907145740815503,0.501911724887069,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",11,122,348,17598,-0.81905031959892,18092,0.973303117399956,0.51187789626789,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",6,208,155,5958,-0.625840556205988,6332,0.94188250157928,0.501766851887954,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,129,0,30,0.675725860489953,446,0.0672645739910314,0.0943396220481785,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",52,2416,26,2132,0.210096101658413,6238,0.350112215453671,0.567722071312602,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.388586803970686,21271,0,0,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",487,8777,101,2649,1.03640608220894,12014,0.261028799733644,0.530035477506271,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,1.86711104091513,1,0,0,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,1.22114361008838,7,0,0,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",65,180,8,59,0.581192458651606,4279,0.0289787333489133,0.568636435179998,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.171011168794606,500,0,0,"immune_aging","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
