"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",12,156,624,6617,2.11355782727106,7431,0.892073745121787,0.497917647397925,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",3,21,356,17699,-0.356813279649752,18092,0.978443510944064,0.503585722150612,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",1,26,160,6140,-0.443100259363533,6332,0.969835754895768,0.500997253925746,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,56,0,103,0.0785855264535131,446,0.230941704035874,0.323899369032079,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",3,115,75,4433,-0.257742844147179,6238,0.71112536069253,0.506587848912243,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,-0.071677903373596,21271,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",134,1419,454,10007,-0.102598325341298,12014,0.844098551689695,0.551850356574362,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,1.77948817896131,1,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,-0.0177080382333582,7,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",10,50,63,189,-0.465018026255367,4279,0.046506193035756,0.463890637632035,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.252974468001364,500,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
