"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",75,90,3985,3281,2.11520199674028,7431,0.451621585250976,0.495887298501787,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,25,0,18067,-0.356410876914929,18092,0.998618173778466,0.499309086861634,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",4,12,2366,3950,-0.442058565327774,6332,0.624447252053064,0.49932949505697,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",71,19,282,74,0.0567367095308058,446,0.325112107623318,0.498416030040709,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",65,95,1699,4379,-0.261096698545461,6238,0.712407823020199,0.507807138530595,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",1535,410,9981,9345,-0.0693692975091101,21271,0.511494523059565,0.545631540774629,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,1443,0,10571,-0.104708984261308,12014,0.879890128183786,0.439945064055273,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,2.05762335450028,1,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,1,0,6,-0.00970588697267123,7,0.857142857142857,0.428571367346948,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",98,87,1323,2771,-0.46817307935362,4279,0.670483757887357,0.519262324556962,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,25,0,475,-0.264995990521463,500,0.95,0.47499999905,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
