"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",145,43,5943,1300,2.11281912464275,7431,0.194455658726955,0.495899737216955,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"CD4 T cells","CD4 T cells",0,30,0,18062,-0.356228299240683,18092,0.998341808534159,0.499170904239489,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"CD8 T cells","CD8 T cells",17,6,4225,2084,-0.440875398331223,6332,0.331806696146557,0.500568364868167,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","DCs",83,1,338,24,0.0597646089607769,446,0.239910313901345,0.578574802418588,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"NK cells","NK cells",112,47,3123,2956,-0.257296430119506,6238,0.491824302661109,0.50948515661112,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Unassigned","Unassigned",1907,135,14022,5207,-0.0705309758998343,21271,0.334445959287293,0.547223658925985,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Monocytes","Monocytes",0,1486,0,10528,-0.104274888780363,12014,0.876310970534377,0.438155485230718,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"cDC1","cDC1",0,1,0,0,1.56736597515912,1,0,0,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"cDC2","cDC2",0,2,0,5,0.0323622639446622,7,0.714285714285714,0.357142806122456,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Neutrophils","Neutrophils",130,47,2435,1667,-0.467851951778313,4279,0.419957934096752,0.511630511874287,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
NA,NA,0,25,0,475,-0.264651771252573,500,0.95,0.47499999905,"immune_aging","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
