"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",6,77,630,6696,-0.854485823164731,7431,0.901897456600727,0.499032646192677,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",22,717,337,17003,0.230348892169669,18092,0.941023656864913,0.510409291436082,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",18,830,143,5336,0.352502653218285,6332,0.845546430827543,0.488596047233227,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,105,0,54,0.479945235584122,446,0.121076233183857,0.169811319686721,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",41,1878,37,2670,-0.000976330621757095,6238,0.434594421288875,0.556356129439248,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,-0.0151627896038455,21271,0,0,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",248,4493,340,6933,-0.0700638383470538,12014,0.597719327451307,0.514271365434015,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,0.0772526977387013,1,0,0,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,-0.311048141044455,7,0,0,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",34,127,39,112,0.17358669730051,4279,0.0341201215237205,0.467186331589263,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.331594456157805,500,0,0,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
