"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",46,28,4014,3343,-0.853467783955002,7431,0.456062441125017,0.501511954176507,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,687,0,17405,0.22719802045136,18092,0.962027415432235,0.481013707689531,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",322,505,2048,3457,0.35353720236142,6332,0.596809854706254,0.504202050140565,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",158,43,195,50,0.483084202198587,446,0.466367713004484,0.492613234770919,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",666,1377,1098,3097,0.00362981672917803,6238,0.603238217377364,0.534886372782334,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",3938,1846,7578,7909,-0.0162306162267955,21271,0.556955479291054,0.576361362175521,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,4441,0,7573,-0.0684550899037872,12014,0.630347927418012,0.315173963682772,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,0,0,1,-0.203307830741215,1,1,0.4999995000005,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,1,0,6,-0.202382608557943,7,0.857142857142857,0.428571367346948,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",699,1266,722,1592,0.175750893970434,4279,0.535405468567422,0.524469998631271,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,100,0,400,0.344398797858739,500,0.8,0.3999999992,"immune_aging","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
