"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",6,32,630,6741,-0.783327627025448,7431,0.907953169156237,0.502354660070822,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",12,168,347,17552,-0.7518741559155,18092,0.970815830201194,0.51197268552696,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",7,446,154,5720,-0.422465322291593,6332,0.904453569172457,0.485573058216748,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,130,0,29,0.585572313196585,446,0.0650224215246637,0.0911949679799059,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",49,2469,29,2079,0.00230946256482463,6238,0.341134979159987,0.542664565302398,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.388409082597338,21271,0,0,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",532,9856,56,1570,1.03555868962303,12014,0.174962543699018,0.521083909771171,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,2.23361070627072,1,0,0,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,1.14490736501914,7,0,0,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",69,192,4,47,0.261227726668517,4279,0.0271091376489834,0.570929092673246,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.0155990618008105,500,0,0,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
