"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",28,14,4032,3357,-0.780375941550888,7431,0.455524155564527,0.501371740560738,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,196,0,17896,-0.752978663119831,18092,0.989166482423171,0.494583241184248,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",183,285,2187,3677,-0.422797045137601,6332,0.609602021478206,0.502640911310112,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",226,56,127,37,0.582577860239896,446,0.589686098654709,0.519038042584576,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",956,1786,808,2688,0.000941163088755631,6238,0.584161590253286,0.571377381010381,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",8376,3176,3140,6579,0.387807975005076,21271,0.703069907385642,0.700879626505597,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,10425,0,1589,1.03706797122153,12014,0.132262360579324,0.0661311802841575,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,2.23631315663988,1,0,0,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,6,0,1,1.18233334828509,7,0.142857142857143,0.0714285612244912,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",964,1633,457,1225,0.261907342779633,4279,0.511568123393316,0.553508454539017,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,138,0,362,-0.0125968506237089,500,0.724,0.361999999276,"immune_aging","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
