"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",21,254,615,6519,-0.391195369590959,7431,0.880096891400888,0.497758511083619,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",16,315,343,17405,-0.772418583357879,18092,0.962911784214017,0.51339586062187,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",5,481,156,5685,-0.634280554953225,6332,0.898610233733418,0.476523733467275,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,142,0,17,0.548798477159181,446,0.0381165919282511,0.0534591191606345,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",51,2792,27,1756,-0.011751576950049,6238,0.289676178262264,0.519974963630381,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.35306121250113,21271,0,0,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",563,10574,25,852,1.031137439567,12014,0.117779257532878,0.516024884543662,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,2.34168617047547,1,0,0,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,0.932564999133434,7,0,0,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",67,207,6,32,0.209687763800116,4279,0.0231362467866324,0.525849709717137,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.155594681656355,500,0,0,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
