"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",170,166,3890,3205,-0.394491312928361,7431,0.454178441663302,0.49631418649064,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,370,0,17722,-0.771707442591731,18092,0.979548971921291,0.489774485933574,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",181,337,2189,3625,-0.633892190127788,6332,0.601073910296905,0.495656628132289,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",233,51,120,42,0.545273387592585,446,0.616591928251121,0.55583477686185,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",1023,2127,741,2347,-0.011003851664891,6238,0.540237255530619,0.552259236059795,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",8830,3440,2686,6315,0.353781066146379,21271,0.712002256593484,0.707059809662296,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,11161,0,853,1.02939323362318,12014,0.0710004994173464,0.0355002497057183,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,2.19849934700435,1,0,0,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,6,0,1,0.881777569932891,7,0.142857142857143,0.0714285612244912,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",1005,1854,416,1004,0.214119291958739,4279,0.469502220144894,0.529271513801955,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,151,0,349,-0.169086635855633,500,0.698,0.348999999302,"immune_aging","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
