"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",8,33,628,6740,-0.854553090969661,7431,0.90808774054636,0.503853164581749,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",13,155,346,17565,-0.696189447619486,18092,0.971589652885253,0.513732260338983,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",6,416,155,5750,-0.45625048434669,6332,0.909033480732786,0.484900163600063,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,132,0,27,0.559424698659818,446,0.0605381165919283,0.0849056598433606,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",42,1997,36,2551,-0.0402474895653111,6238,0.415678101955755,0.549683712067472,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.365749965827647,21271,0,0,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",540,9941,48,1485,1.10054245839188,12014,0.168553354419844,0.524167043941309,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,1.38981197485606,1,0,0,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,1.06688375409679,7,0,0,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",64,184,9,55,0.192496017583217,4279,0.0278102360364571,0.553418919403525,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.00369784156915126,500,0,0,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
