"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",24,8,4036,3363,-0.856602627534909,7431,0.455793298344772,0.50176907336006,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,169,0,17923,-0.695921948625537,18092,0.990658854742428,0.495329427343835,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",158,216,2212,3746,-0.45698231126427,6332,0.616550852811118,0.506074373078799,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",212,51,141,42,0.557912510767071,446,0.569506726457399,0.526089734453196,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",806,1330,958,3144,-0.0380865245106836,6238,0.63321577428663,0.579821482847999,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",8136,2914,3380,6841,0.365748127527851,21271,0.704104179399182,0.703888352447717,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,10428,0,1586,1.0995362598666,12014,0.13201265190611,0.0660063259475606,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,1.67722189952928,1,0,0,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,6,0,1,1.18761652552434,7,0.142857142857143,0.0714285612244912,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",791,1265,630,1593,0.195573014783492,4279,0.557139518579107,0.557016515441556,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,135,0,365,0.00379252049406209,500,0.73,0.36499999927,"immune_aging","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
