"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",7,47,629,6726,-0.738086508792135,7431,0.906069169694523,0.502033485632217,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",13,207,346,17513,-0.713656128080083,18092,0.968715454344462,0.512264991716041,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",10,511,151,5655,-0.419730241470109,6332,0.894662034112445,0.489618988255249,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,132,0,27,0.704917956817907,446,0.0605381165919283,0.0849056598433606,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",52,2617,26,1931,0.0436459497589078,6238,0.317890349470984,0.545624445987645,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.358531131164285,21271,0,0,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",533,9639,55,1787,0.945231696552978,12014,0.193108040619277,0.531430136479428,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,1.67477812771496,1,0,0,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,1.16073810231841,7,0,0,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",65,185,8,54,0.342298847790011,4279,0.0278102360364571,0.55817618417774,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.0208731075814155,500,0,0,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
