"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",34,16,4026,3355,-0.737475961382374,7431,0.456062441125017,0.501814008937834,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,198,0,17894,-0.714789291572203,18092,0.989055936325448,0.49452796813539,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",201,294,2169,3668,-0.417794386587491,6332,0.611023373341756,0.505302589658179,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",224,54,129,39,0.703209328382613,446,0.589686098654709,0.526957869459222,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",959,1903,805,2571,0.0435106679881708,6238,0.565886502084001,0.559152173540472,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",8353,3118,3163,6637,0.358251600676452,21271,0.704715340134455,0.702853850320563,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,10138,0,1876,0.943703115442571,12014,0.156151156983519,0.0780755784852609,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,1.70433707733524,1,0,0,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,5,0,2,1.11584024102126,7,0.285714285714286,0.142857122448982,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",970,1734,451,1124,0.34827471260426,4279,0.489366674456649,0.537949944756748,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,140,0,360,0.0295462794918061,500,0.72,0.35999999928,"immune_aging","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
