"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",10,140,626,6633,-0.511851268233979,7431,0.893957744583502,0.497526480846379,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",15,572,344,17148,-0.5290086795507,18092,0.948651337607782,0.504751409963735,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",23,1438,138,4728,0.0785332541001541,6332,0.750315855969678,0.454821370144275,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,99,0,60,0.517032198462313,446,0.134529147982063,0.188679244096357,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",63,3464,15,1084,0.623705899108592,6238,0.183873036229561,0.523019411615171,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.156451809085679,21271,0,0,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",328,5622,260,5804,0.11849359867187,12014,0.510404528050608,0.532893710112129,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,2.53658970067021,1,0,0,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,0.791196500760411,7,0,0,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",43,132,30,107,0.93525044441626,4279,0.0350549193736854,0.518369915359006,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.011269323612617,500,0,0,"immune_aging","AUCell","WP","gmm_dist_dual","raw","biologist"
