"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",67,65,3993,3306,-0.514045991519916,7431,0.453909298883057,0.498610175313148,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,518,0,17574,-0.531319969197788,18092,0.971368560689808,0.485684280318059,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",534,874,1836,3088,0.0768241761921699,6332,0.572015161086544,0.502360398323105,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",196,55,157,38,0.489882357312108,446,0.524663677130045,0.481921468886138,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",1169,2675,595,1799,0.625638858202024,6238,0.475793523565245,0.532399720197788,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",5982,2932,5534,6823,0.159256108143195,21271,0.601993324244276,0.609443692393468,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,6040,0,5974,0.120217856710984,12014,0.49725320459464,0.248626602276625,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,2.99048829582647,1,0,0,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,6,0,1,0.801343909457507,7,0.142857142857143,0.0714285612244912,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",1104,2255,317,603,0.933432472464274,4279,0.39892498247254,0.493952183492706,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,140,0,360,-0.0194964378793875,500,0.72,0.35999999928,"immune_aging","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
