"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B cells","B cells",14,173,622,6600,2.11246055356701,7431,0.89005517426995,0.498234991418845,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",4,24,355,17696,-0.356196916534689,18092,0.978332964846341,0.504893829694037,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",1,21,160,6145,-0.442148220341655,6332,0.970625394819962,0.501402703163436,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,58,0,101,0.0794425731434941,446,0.226457399103139,0.317610060895534,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",2,127,76,4421,-0.256207629816842,6238,0.709041359410067,0.498858331370739,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,-0.0693588833466492,21271,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",119,1465,469,9961,-0.105616697996068,12014,0.839021142000999,0.537082301641008,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"cDC1","cDC1",0,0,0,0,1.62506116183636,1,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"cDC2","cDC2",0,0,0,0,-0.0517347684371908,7,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",8,53,65,186,-0.473389906746089,4279,0.0453376957232998,0.443915857081347,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.244642221313843,500,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","biologist"
