"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B cells","B cells",102,103,3958,3268,2.112703919778,7431,0.45350558471269,0.497284210440959,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,33,0,18059,-0.357937451561615,18092,0.998175989387575,0.499087994666201,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",4,15,2366,3947,-0.443630811021937,6332,0.623973468098547,0.498950898388716,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",72,14,281,79,0.0675286104079022,446,0.338565022421525,0.526714180772655,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",65,107,1699,4367,-0.256470980932164,6238,0.710484129528695,0.506466056724905,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",1614,460,9902,9295,-0.0689837424323226,21271,0.512857881622867,0.546498762881193,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,1555,0,10459,-0.103161201999272,12014,0.870567671050441,0.435283835488989,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"cDC1","cDC1",0,1,0,0,1.59629248185169,1,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"cDC2","cDC2",0,1,0,6,0.0968365325889358,7,0.857142857142857,0.428571367346948,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",103,90,1318,2768,-0.469582946176901,4279,0.670951156812339,0.520496806428095,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,23,0,477,-0.262153590871142,500,0.954,0.476999999046,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_dual"
