"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B cells","B cells",145,41,5943,1302,2.11177688496743,7431,0.1947248015072,0.496644338854524,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"CD4 T cells","CD4 T cells",0,33,0,18059,-0.358570765461863,18092,0.998175989387575,0.499087994666201,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"CD8 T cells","CD8 T cells",13,5,4229,2085,-0.445451016570093,6332,0.33133291219204,0.500336123598924,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"DCs","DCs",82,2,339,23,0.0762864913134195,446,0.23542600896861,0.557387154765352,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"NK cells","NK cells",119,63,3116,2940,-0.260730920701447,6238,0.490381532542482,0.507903070485537,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"Unassigned","Unassigned",1867,132,14062,5210,-0.0691060456868048,21271,0.332706501809976,0.546248881037261,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"Monocytes","Monocytes",0,1538,0,10476,-0.100023078822222,12014,0.871982686865324,0.435991343396372,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"cDC1","cDC1",0,1,0,0,1.63400888660199,1,0,0,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"cDC2","cDC2",0,0,0,7,-0.0981991191267842,7,1,0.499999928571439,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
"Neutrophils","Neutrophils",147,50,2418,1664,-0.465052554961194,4279,0.423229726571629,0.514069206171808,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
NA,NA,0,24,0,476,-0.263389927849702,500,0.952,0.475999999048,"immune_aging","AUCell","gmm_dist_dual","raw","gmm_single"
