"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",0,0,44,2626,0.623434453683123,4591,0.571988673491614,0.499999999809596,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",2,0,82,8318,-0.0751618891730517,9673,0.860126124263414,0.511904761702928,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.308995109301194,14989,0,0,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",0,0,21,0,0.546725677007716,21,0,0,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",1,0,213,22074,-0.140230738100565,22288,0.990443287867911,0.502336448564562,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B cells","B cells",0,0,96,10201,-0.976064865613088,10297,0.990676896183354,0.499999999950985,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",1,1,277,38972,-0.441359551142734,39251,0.9929173779012,0.501785731737071,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",64,20,1531,33181,0.66837928997568,34796,0.955425911024256,0.51976150015002,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,1,0,3030,0.118971685234166,3031,0.999670075882547,0.499835037776366,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.199467138979335,522,0,0,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
