"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",0,0,340,4251,0.626332752637267,4591,0.925942060553256,0.499999999882381,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",2,0,169,9502,-0.0743500181309784,9673,0.982528688100899,0.505847953129555,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",13,5,1031,13940,0.305181499008495,14989,0.930882647274668,0.506046777871974,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,0,0,21,0.544523804676175,21,1,0.499999976190477,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",1,0,274,22013,-0.139752325950297,22288,0.987706389088299,0.501818181788856,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",0,0,119,10178,-0.975091584098118,10297,0.98844323589395,0.499999999950874,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,0,0,39251,-0.441394894889296,39251,1,0.499999999987261,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,90,0,34706,0.66920437583287,34796,0.997413495804115,0.498706747887725,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",0,1,292,2738,0.113517043728752,3031,0.903332233586275,0.499817451442199,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,1,0,521,0.208231513415082,522,0.998084291187739,0.49904214463785,"skin","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
