"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",43,2490,1,136,0.652719712156814,4591,0.0389893269440209,0.514531249703157,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",55,5524,29,2794,0.162433969265579,9673,0.29453116923395,0.495329974671592,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.282044746201802,14989,0,0,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",20,0,1,0,0.952897642625815,21,0.952380952380952,0.47619045351474,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",33,2522,181,19552,-0.603169809580283,22288,0.878723977027997,0.519976772733697,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B cells","B cells",16,213,80,9988,-0.662782699574696,10297,0.97154511022628,0.572893179491103,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",9,690,269,38283,-0.72668238258758,39251,0.975567501464931,0.507334767939564,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1546,32248,49,953,1.0902297013588,34796,0.071818599839062,0.4989914754784,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,2514,0,517,0.686581076654642,3031,0.170570768723194,0.0852853843334591,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.0784810229150326,522,0,0,"skin","AUCell","GOBP","gmm_dist_dual","raw","biologist"
