"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",311,3339,29,912,0.655509272962094,4591,0.266390764539316,0.564621817717161,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",127,6115,44,3387,0.16125976195402,9673,0.363279230848754,0.549570663757463,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",850,7229,194,6716,0.281411502640206,14989,0.504770164787511,0.647891277450944,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,19,0,2,0.888305728398627,21,0.0952380952380952,0.047619045351474,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",40,2538,235,19475,-0.604293856387723,22288,0.875583273510409,0.51507951884257,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",21,195,98,9983,-0.663562304564993,10297,0.97154511022628,0.57865580816391,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,685,0,38566,-0.726515885713369,39251,0.982548215332093,0.491274107653531,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,33769,0,1027,1.09120311296445,34796,0.0295148867685941,0.0147574433838729,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",283,2229,9,510,0.687791733255205,3031,0.261629825140218,0.577688710815273,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,192,0,330,-0.0815381105694239,522,0.632183908045977,0.316091953417448,"skin","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
