"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",4,50,40,2576,-0.086532592456351,4591,0.561969069919408,0.5359343614472,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",4,180,80,8138,-0.0462809605683563,9673,0.841724387470278,0.512989614835385,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.188104729752482,14989,0,0,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",1,0,20,0,-0.0284831505336736,21,0.0476190476190476,0.023809522675737,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",2,125,212,21949,-0.0413797887374524,22288,0.984879755922469,0.501841511811684,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"B cells","B cells",2,9,94,10192,-0.0422920659083336,10297,0.989997086530057,0.509975533286955,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",2,40,276,38933,-0.0375114581077411,39251,0.991949249700645,0.503083946488036,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",129,1370,1466,31831,0.029242458451104,34796,0.918496378894126,0.519806962756113,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,75,0,2956,-0.0395344389104783,3031,0.975255691191026,0.487627845434633,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.0795634257768017,522,0,0,"skin","AUCell","HP","gmm_dist_dual","raw","biologist"
