"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",12,71,328,4180,-0.0833665367558425,4591,0.913090829884557,0.509296082415087,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",6,218,165,9284,-0.0505707213931425,9673,0.960405251731624,0.506072590288631,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",68,325,976,13620,0.188368893703262,14989,0.913203015544733,0.52091412754788,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,1,0,20,-0.0930003055236457,21,0.952380952380952,0.47619045351474,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",5,145,270,21868,-0.0460530492046914,22288,0.981380114860014,0.505797400653876,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",3,13,116,10165,-0.0478138776375641,10297,0.987472079246382,0.511966409517547,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,42,0,39209,-0.0329277919974,39251,0.998929963567807,0.499464981771179,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,1561,0,33235,0.02948085992952,34796,0.955138521669157,0.477569260820854,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",13,69,279,2670,-0.033685290356099,3031,0.885186407126361,0.509664435821377,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,5,0,517,-0.118964075977746,522,0.990421455938697,0.495210727020669,"skin","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
