"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",6,526,38,2100,0.140598415351945,4591,0.458723589631888,0.468029493555366,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",34,3907,50,4411,0.625412142775143,9673,0.45952651710948,0.467528822024415,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.0416989338741746,14989,0,0,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",2,0,19,0,-0.279801320849612,21,0.0952380952380952,0.047619045351474,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",56,4738,158,17336,0.833056561883701,22288,0.780330222541278,0.52352029093046,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B cells","B cells",4,82,92,10119,-1.39510987161426,10297,0.98310187433233,0.51681411926513,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",5,598,273,38375,-0.138096835443618,39251,0.977809482560954,0.501320827674339,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",189,4130,1406,29071,-0.178532476133418,34796,0.840901253017588,0.497050727073025,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,677,0,2354,0.0982406319350344,3031,0.776641372484329,0.388320686114048,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.346895029038493,522,0,0,"skin","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
