"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",70,1105,270,3146,0.137101609573039,4591,0.70050098017861,0.47297175712053,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",59,4695,112,4807,0.627196582032144,9673,0.503049726041559,0.425461366900605,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",249,2964,795,10981,0.0400270485422234,14989,0.749216091800654,0.512978223008423,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,3,0,18,-0.289217327461545,21,0.857142857142857,0.428571408163266,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",88,5735,187,16278,0.833415384762949,22288,0.73429648241206,0.529736064453855,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",7,152,112,10026,-1.3924070982459,10297,0.974361464504225,0.521944678538845,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,898,0,38353,-0.138304413710403,39251,0.977121601997401,0.488560800986254,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,5607,0,29189,-0.178215520219474,34796,0.83886078859639,0.419430394286141,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",30,747,262,1992,0.095568720670725,3031,0.667106565489937,0.415006226341376,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,76,0,446,-0.359461891718481,522,0.854406130268199,0.427203064315703,"skin","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
