"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",39,2257,5,369,0.542295227226917,4591,0.0888695273360924,0.513440757054569,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",45,4641,39,3677,0.304298148292594,9673,0.38478238395534,0.488883828749754,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.331815106392515,14989,0,0,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",18,0,3,0,1.06374231048907,21,0.857142857142857,0.428571408163266,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",18,1879,196,20195,-0.497795584593663,22288,0.906900574300072,0.499494690114933,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B cells","B cells",14,153,82,10048,-0.834397081160007,10297,0.97717781878217,0.565417401080875,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",6,455,272,38518,-0.872043809396354,39251,0.981478178899901,0.504953992262311,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1536,31792,59,1409,1.19140778427571,34796,0.0846361650764456,0.50272394227616,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,2280,0,751,0.689036042400892,3031,0.247773012207192,0.123886506062723,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.112099241955971,522,0,0,"skin","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
