"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",43,2556,1,70,1.27623502620036,4591,0.0246133739925942,0.50196460842843,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",9,548,75,7770,-0.683068902836254,9673,0.804197250077535,0.520630817153791,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.199160662414868,14989,0,0,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",18,0,3,0,0.0999326228869273,21,0.857142857142857,0.428571408163266,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",6,707,208,21367,-0.70985936492737,22288,0.958946518305815,0.498004376017071,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B cells","B cells",21,416,75,9785,1.20026368299395,10297,0.952316208604448,0.588984840985997,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",5,279,273,38694,-0.701811308755449,39251,0.985936664034037,0.505413404586455,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1518,31218,77,1983,0.824220125347522,34796,0.10061501321991,0.505725626992828,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,1539,0,1492,-0.13257921227969,3031,0.492246783239855,0.246123391538725,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.942764196038524,522,0,0,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
