"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",299,3169,41,1082,1.27164335126805,4591,0.300805924635156,0.566970054165484,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",67,885,104,8617,-0.683291025255292,9673,0.897756642199938,0.649337288216922,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",827,6592,217,7353,0.200413656685358,14989,0.545733537927814,0.659715679290255,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,14,0,7,0.0715581599816195,21,0.333333333333333,0.166666658730159,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",7,662,268,21351,-0.71012725844201,22288,0.958273510409189,0.497690703359002,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",25,409,94,9769,1.20002658931259,10297,0.951150820627367,0.58494965981477,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,276,0,38975,-0.700920203209363,39251,0.992968332017019,0.49648416599586,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,32572,0,2224,0.823570935194939,34796,0.0639153925738591,0.0319576962860111,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",247,1286,45,1453,-0.130681469228545,3031,0.560870999670076,0.688187993273345,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,199,0,323,0.933791483849504,522,0.618773946360153,0.309386972587381,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
