"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",472,3002,80,1037,1.2748603640968,4591,0.328686560662165,0.555909590820263,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"NK cells","NK cells",193,783,626,8071,-0.683764200457481,9673,0.854336813811641,0.573609314717337,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Unassigned","Unassigned",1042,6433,236,7278,0.199680294269562,14989,0.555073720728534,0.673075568448078,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"PLA neutrohils","PLA neutrohils",0,16,0,5,0.169650213616367,21,0.238095238095238,0.119047613378685,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"CD8 T cells","CD8 T cells",68,630,1801,19789,-0.7119168920853,22288,0.890927853553482,0.502764737883211,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B cells","B cells",44,392,191,9670,1.20063280989036,10297,0.943381567446829,0.574137792048915,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"CD4 T cells","CD4 T cells",0,303,0,38948,-0.699360604661318,39251,0.992280451453466,0.496140225714093,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Monocytes","Monocytes",0,32587,0,2209,0.822794468059021,34796,0.0634843085412116,0.0317421542696936,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Neutrophils","Neutrophils",442,1111,135,1343,-0.128620736906584,3031,0.58891454965358,0.656650478970557,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
NA,NA,0,204,0,318,0.918353406253037,522,0.609195402298851,0.304597700565905,"skin","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
