"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",18,1058,26,1568,-0.0118277186102423,4591,0.345458505772163,0.503098381999302,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",44,4543,40,3775,0.167045038920824,9673,0.394810296702161,0.488822287011551,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,-0.113686046110877,14989,0,0,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",13,0,8,0,0.217958765279304,21,0.619047619047619,0.309523794784581,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",62,5695,152,16379,0.386755720397313,22288,0.73766152189519,0.51586189629,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"B cells","B cells",5,205,91,9996,-0.56590967496102,10297,0.971253763232009,0.515993631840949,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",19,2370,259,36603,0.294489133885265,39251,0.933020814756312,0.503766996274828,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",486,10417,1109,22784,-0.416133816134867,34796,0.668755029313714,0.495473292187436,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,1585,0,1446,0.100105675861806,3031,0.477070273837018,0.23853513683981,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.0718835226761543,522,0,0,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","biologist"
