"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",142,1558,198,2693,-0.00977434354892926,4591,0.617512524504465,0.525572528958305,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",75,4412,96,5090,0.166656602539257,9673,0.533960508632275,0.487136594124492,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",221,3496,823,10449,-0.110807603662868,14989,0.711855360597772,0.480493324083316,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,13,0,8,0.134620417303566,21,0.380952380952381,0.190476181405896,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",62,5104,213,16909,0.387012511852206,22288,0.761441134242642,0.496795777274241,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",6,162,113,10016,-0.563399863392534,10297,0.973293192191901,0.517251742252493,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,2096,0,37155,0.293028972851603,39251,0.946600086621997,0.47330004329894,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,9417,0,25379,-0.417545757226406,34796,0.729365444303943,0.364682722141491,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",132,1246,160,1493,0.106680971216441,3031,0.536126690861102,0.498572120738656,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,97,0,425,-0.0567848699312334,522,0.814176245210728,0.407088121825502,"skin","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
