"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",41,2253,3,373,0.626701695893454,4591,0.0901764321498584,0.536929643888024,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",35,3827,49,4491,0.129459556622257,9673,0.467900341155794,0.478290051186193,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.366765234158208,14989,0,0,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",19,0,2,0,0.697197381760665,21,0.904761904761905,0.452380930839003,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",16,1558,198,20516,-0.408050311535264,22288,0.921213208901651,0.50209279049386,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"B cells","B cells",14,81,82,10120,-0.965440606932465,10297,0.984170146644654,0.568946466858394,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",3,278,275,38695,-0.753865441407798,39251,0.985911186976128,0.501829111691945,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1540,31420,55,1781,1.07351986583202,34796,0.0954420048281412,0.509580101666862,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,2123,0,908,0.53504850749459,3031,0.299571098647311,0.149785549274238,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.0158532934932193,522,0,0,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","biologist"
