"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",280,2623,60,1628,0.63238088404004,4591,0.415595730777608,0.603249061248207,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",96,4195,75,5307,0.129047085118901,9673,0.558565078052311,0.559958751241671,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",816,6596,228,7349,0.365547459383558,14989,0.544732804056308,0.654304059480742,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,19,0,2,0.746200706166031,21,0.0952380952380952,0.047619045351474,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",22,1458,253,20555,-0.410239973643437,22288,0.923232232591529,0.506883205211976,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",20,84,99,10094,-0.964544688213073,10297,0.982227833349519,0.579907065235197,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,272,0,38979,-0.753134629602345,39251,0.993070240248656,0.496535120111678,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,32869,0,1927,1.07425074934645,34796,0.0553799287274399,0.0276899643629242,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",267,1837,25,902,0.529191058885319,3031,0.38568129330254,0.621850413734229,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,188,0,334,0.0127034164049395,522,0.639846743295019,0.31992337103463,"skin","AUCell","OVERLAP_MIN2","gmm_dist_dual","raw","gmm_dual"
