"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",42,2544,2,82,0.750748422500694,4591,0.0270093661511653,0.49288581619119,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",63,6095,21,2223,0.258187053219957,9673,0.236327923084875,0.508625867123401,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.298663968871914,14989,0,0,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",20,0,1,0,1.06652866072453,21,0.952380952380952,0.47619045351474,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",28,2880,186,19194,-0.5871218136795,22288,0.862437185929648,0.500185442183612,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"B cells","B cells",19,201,77,10000,-0.559723037323353,10297,0.97300184519763,0.589106356957929,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",7,675,271,38298,-0.805795315925975,39251,0.975898703217752,0.503930086570978,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1567,32440,28,761,1.08198443574093,34796,0.0669042418668813,0.502683068402359,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,2600,0,431,0.778773718774792,3031,0.142197294622237,0.0710986472876613,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.0481164206442164,522,0,0,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","biologist"
