"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",314,3410,26,841,0.753252172838003,4591,0.251579176649967,0.560682606171147,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",140,6731,31,2771,0.255717344433914,9673,0.300940762948413,0.55516813086156,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",857,7574,187,6371,0.298248187264799,14989,0.482220294882914,0.638873742771474,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,19,0,2,1.0559313529037,21,0.0952380952380952,0.047619045351474,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",43,2939,232,19074,-0.589085738765127,22288,0.857726130653266,0.511425810064275,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",23,216,96,9962,-0.559074695827161,10297,0.969699912595902,0.586027532574109,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,738,0,38513,-0.806644977976616,39251,0.981197931262898,0.49059896561895,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,34037,0,759,1.08451976694347,34796,0.02181285205196,0.0109064260256666,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",282,2312,10,427,0.780396095555524,3031,0.233916199274167,0.56082486690803,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,200,0,322,0.0407576769432748,522,0.616858237547893,0.308429118183086,"skin","AUCell","OVERLAP","gmm_dist_dual","raw","gmm_dual"
