"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",44,2400,0,226,0.722224580765245,4591,0.0588107166194729,0.54303121481952,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",39,3737,45,4581,0.120013026073806,9673,0.477618112271271,0.507509529027561,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.308601761748235,14989,0,0,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",19,0,2,0,1.42009116518858,21,0.904761904761905,0.452380930839003,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",20,1448,194,20626,-0.47230119144833,22288,0.926328068916009,0.513930203941992,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"B cells","B cells",16,96,80,10105,-0.903323433568404,10297,0.982907643002816,0.578627911379571,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",3,271,275,38702,-0.746926407397017,39251,0.986089526381493,0.501918917454907,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1537,31547,58,1654,1.07438909758236,34796,0.0917059432118634,0.506727069801849,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,2178,0,853,0.855759786055663,3031,0.281425272187397,0.140712636047274,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.0679215390142791,522,0,0,"skin","AUCell","REACTOME","gmm_dist_dual","raw","biologist"
