"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",300,2888,40,1363,0.722480336544361,4591,0.362230450882161,0.601491689201193,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",103,4163,68,5339,0.118094370736742,9673,0.562596919259795,0.582110443409418,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",822,6572,222,7373,0.307861401644866,14989,0.54673427179932,0.658038146181438,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,19,0,2,1.39626788717998,21,0.0952380952380952,0.047619045351474,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",26,1449,249,20564,-0.47301544331726,22288,0.923815506101938,0.514360357116404,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",21,93,98,10085,-0.900443326203921,10297,0.981450908031466,0.583666615787706,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,264,0,38987,-0.746955654244368,39251,0.993274056711931,0.496637028343313,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,33035,0,1761,1.07488422575353,34796,0.0506092654328084,0.025304632715677,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",277,1896,15,843,0.855370619022765,3031,0.369515011547344,0.628203347206904,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,187,0,335,0.0685812292098959,522,0.64176245210728,0.320881225438925,"skin","AUCell","REACTOME","gmm_dist_dual","raw","gmm_dual"
