"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",24,1321,20,1305,0.926381531537757,4591,0.289479416249183,0.521204037188302,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",4,769,80,7549,0.0678827293811372,9673,0.78083324718288,0.477584469371981,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.321583239609003,14989,0,0,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",13,0,8,0,1.022223320669,21,0.619047619047619,0.309523794784581,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",0,129,214,21945,-0.45136265915461,22288,0.984610552763819,0.497078010306375,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"B cells","B cells",10,56,86,10145,-0.796180727920989,10297,0.986209575604545,0.549338503803714,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",0,20,278,38953,-0.823712953623522,39251,0.992407836743013,0.499743412092994,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",1236,24716,359,8485,1.11501681538385,34796,0.279371192091045,0.515243110514236,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,1227,0,1804,0.637978075287441,3031,0.595183107885186,0.297591553844411,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,0.204289789650369,522,0,0,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","biologist"
