"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",195,1178,145,3073,0.92746963447254,4591,0.711827488564583,0.648209070985424,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",40,841,131,8661,0.0694262350530688,9673,0.899514111444226,0.572705222298982,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",644,4135,400,9810,0.323140688637874,14989,0.697444792848089,0.66016809299614,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,14,0,7,1.0455703554586,21,0.333333333333333,0.166666658730159,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",1,84,274,21929,-0.450634046363227,22288,0.983937544867193,0.499910218312815,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",13,44,106,10134,-0.796862473483117,10297,0.985432650286491,0.55246032337404,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,19,0,39232,-0.824157479571053,39251,0.999515935899722,0.499757967937129,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,24542,0,10254,1.11409050520053,34796,0.294689044717784,0.147344522354657,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",187,944,105,1795,0.636736470510573,3031,0.653909600791818,0.647879811934258,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,108,0,414,0.205177129076308,522,0.793103448275862,0.396551723378253,"skin","AUCell","UNION_ALL","gmm_dist_dual","raw","gmm_dual"
