"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",10,566,34,2060,0.0053454617782222,4591,0.450882160749292,0.505867891749747,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",23,2322,61,5996,0.477876216760441,9673,0.622247493021813,0.497327938880326,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.289880523457641,14989,0,0,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"PLA neutrohils","PLA neutrohils",5,0,16,0,-0.18586762559385,21,0.238095238095238,0.119047613378685,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",10,942,204,21132,0.135236122090625,22288,0.948582196697775,0.502027165926552,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"B cells","B cells",6,22,90,10179,-0.696565933686859,10297,0.989123045547247,0.530171673971222,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",2,192,276,38781,-0.440660347978308,39251,0.988076736898423,0.501133878492295,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",713,12516,882,20685,0.342067862529063,34796,0.614955742039315,0.535022673092094,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",0,655,0,2376,0.209858275979527,3031,0.783899703068294,0.391949851404833,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.138067693980119,522,0,0,"skin","AUCell","WP","gmm_dist_dual","raw","biologist"
