"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",82,739,258,3512,0.00363627883659642,4591,0.782835983445872,0.533667510306871,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",49,2532,122,6970,0.480519393101127,9673,0.725628036803474,0.510039744526474,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",371,2698,673,11247,0.291286148790309,14989,0.775101741276936,0.580944810352467,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"PLA neutrohils","PLA neutrohils",0,4,0,17,-0.112725731357407,21,0.80952380952381,0.404761885487529,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",18,975,257,21038,0.132501260184818,22288,0.944723618090452,0.510581267952931,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",6,25,113,10153,-0.699585344728016,10297,0.986598038263572,0.523981944649159,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,209,0,39042,-0.439021527641517,39251,0.994675294896945,0.497337647435802,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,13244,0,21552,0.341129625612748,34796,0.619381538107828,0.309690769045014,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",71,634,221,2105,0.215672729106179,3031,0.717914879577697,0.505839671956568,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,67,0,455,-0.133435622768425,522,0.871647509578544,0.435823753954361,"skin","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
