"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.490359442743891,29,1,0.499999982758621,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,0,0,125,-0.258251509411044,125,1,0.499999996,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.311351826792416,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.376715295986353,28,1,0.499999982142858,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.559525271515919,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.888096664420547,16,1,0.499999968750002,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.721226423202748,14,1,0.499999964285717,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,0.255096084145203,2,1,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",156,0,27727,168,0.480238237393201,28051,0.011550390360415,0.502797400459495,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",0,0,434,2,0.335863718364439,436,0.00458715596330275,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",7,0,114,0,0.797401490476972,121,0.0578512396694215,0.028925619595656,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",0,0,19,0,0.818823323910253,19,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.941797267851925,2,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-1.00162449311206,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",5,0,73,0,5.60429046933644,78,0.0641025641025641,0.0320512816403682,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,1.02371022651048,5,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",0,0,209,1,0.784527574786073,210,0.00476190476190476,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",0,0,49,0,0.785489157923076,49,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,0.318237353953271,6,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,0,0,1,1.19890108671828,1,1,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",1,0,96,7,0.406516395757257,109,0.073394495412844,0.505154567693556,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",0,0,68,6,0.280056990310969,76,0.0789473684210526,0.499999916666681,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,0.33149353214502,4,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.893368611602726,40,0.225,0.499999944444451,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",0,0,6,0,1.19326970274961,7,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.432934448686023,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,0.465834432714561,10,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.108634840274015,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,0.423298380236124,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.33183864763421,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-0.616053645132906,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-0.274278926538458,2,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,1.0357570691479,3,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_1",0,0,2,0,0.244246948835641,5,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_2",0,0,2,1,0.189774521871388,4,0.25,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TCM_3",0,0,2,0,-0.310675275433347,3,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_1",0,0,6,0,-0.0203620659774233,8,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",0,0,3,0,0.413879516784092,3,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_4",0,0,2,0,0.509978502798213,7,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_5",0,0,1,0,0.921567885075112,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","Doublet",7,0,9,1,2.4910663343345,19,0.421052631578947,0.718749486328626,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","Eryth",0,0,0,0,-0.268697377826143,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","HSPC",0,0,4,0,-0.519518223085815,4,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","MAIT",0,0,3,0,-0.381258610191169,3,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","NK Proliferating",0,0,4,0,0.832175893979436,4,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","NK_1",0,0,0,1,0.988546469622896,1,1,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","NK_2",0,0,1,0,-0.238347706702927,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","NK_3",0,0,1,0,0.883718007869722,2,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","NK_CD56bright",0,0,0,0,-0.237650013113888,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","Platelet",2,0,34,0,5.05111784591382,39,0.0512820512820513,0.0277777770061729,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","Treg Memory",0,0,2,0,-0.321024397004099,2,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","Treg Naive",0,0,3,1,-1.20822900716635,4,0.25,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","cDC1",0,0,3,0,0.89970681928521,3,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","cDC2_1",0,0,18,0,0.820518596929235,18,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","cDC2_2",0,0,46,12,0.744401830258342,58,0.206896551724138,0.499999958333337,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","dnT_2",0,0,1,0,-0.693592773551151,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","gdT_1",0,0,1,0,-0.186718381114011,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","gdT_2",0,0,0,2,1.08081644677336,2,1,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","gdT_3",0,0,1,1,-0.371258335414938,2,0.5,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"DCs","pDC",0,0,6,0,0.690805730500322,6,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD14 Mono",0,0,1,0,0.286317872254717,1,0,0,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","biologist"
