"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.439752903607881,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,0,10,115,-0.25352715556081,125,0.92,0.499999995652174,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.310554959301961,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.402872202455864,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.541073366660541,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.824548933388295,16,0.875,0.499999964285717,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.719863931502859,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,0.260048725146367,2,0.5,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,160,0,27891,0.480059725749403,28051,0.994296103525721,0.497148051745137,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,0,0,436,0.33683226914828,436,1,0.499999998853211,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,8,0,113,0.788002217995264,121,0.933884297520661,0.466942144901305,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,0,0,19,0.857643497270621,19,1,0.499999973684212,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-1.03014137037984,2,1,0.499999750000125,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-1.22232702667477,1,1,0.4999995000005,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,5,0,73,5.59991944922238,78,0.935897435897436,0.467948711949375,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,0,0,5,1.0130258482126,5,1,0.49999990000002,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,0,0,210,0.774913948877212,210,1,0.499999997619048,"vaccine","AUCell","GNATENKO","gmm_dist_dual","raw","gmm_dual"
