"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.526757487724936,29,1,0.499999982758621,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,2,0,123,-0.2447894143808,125,0.984,0.491999996064,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.616699916544971,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.755962052132742,28,1,0.499999982142858,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.723893075430352,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.625306332939803,16,1,0.499999968750002,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.955345148647591,14,1,0.499999964285717,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.841991039992259,2,1,0.499999750000125,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",27363,165,520,3,1.09263257122185,28051,0.975580193219493,0.499603893238543,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",426,2,8,0,1.12833701143085,436,0.977064220183486,0.490783409007412,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",121,0,0,0,1.16235315966381,121,1,0.499999995867769,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",17,0,2,0,0.622056289895058,19,0.894736842105263,0.447368397506926,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.166657036345438,2,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.165367246422507,1,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",18,0,60,0,2.90111821680757,78,0.230769230769231,0.115384613905325,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,0.0593657497490401,5,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",187,1,22,0,0.820911768587298,210,0.89047619047619,0.447368418912113,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",35,0,14,0,0.64257821909631,49,0.714285714285714,0.357142849854228,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",1,0,5,0,0.372905081414149,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,0.936629263729982,1,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",88,6,9,1,0.878411223171983,109,0.81651376146789,0.525036803970798,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",66,6,2,0,0.944761728612465,76,0.868421052631579,0.485294110510381,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.510257071814332,4,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.699753007291397,40,0.225,0.499999944444451,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.657182569606533,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.804638723824169,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.805618964165597,10,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","biologist"
