"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.50114784650799,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,3,10,112,-0.232469326520266,125,0.896,0.486956517504726,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.607141644414064,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.703881476213095,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.728829148464096,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.605036127470733,16,0.875,0.499999964285717,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.905664232890511,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.839675170233605,2,0.5,0.4999995000005,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,27561,0,490,1.09181960070785,28051,0.0174681829524794,0.00873409147592834,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,430,0,6,1.12634399822211,436,0.0137614678899083,0.00688073392917263,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,121,0,0,1.14029559340388,121,0,0,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,16,0,3,0.624612622730984,19,0.157894736842105,0.0789473642659282,"vaccine","AUCell","GOBP","gmm_dist_dual","raw","gmm_dual"
