"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.155685868267415,29,1,0.499999982758621,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,0,0,125,-0.155685868267415,125,1,0.499999996,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.138529905995928,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.155685868267415,28,1,0.499999982142858,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,0,1,214,-0.137574121518596,215,0.995348837209302,0.499999997663551,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.155685868267415,16,1,0.499999968750002,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.155685868267415,14,1,0.499999964285717,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.155685868267415,2,1,0.499999750000125,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",23,0,27860,168,-0.0704434691806895,28051,0.00680902641617055,0.50041243470984,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",0,0,434,2,-0.11854986279926,436,0.00458715596330275,0.499999750000125,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",2,0,119,0,0.132001137031622,121,0.0165289256198347,0.00826446274161601,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",0,0,19,0,-0.138883924229678,19,0,0,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,0.981595718786918,2,0,0,"vaccine","AUCell","HP","gmm_dist_dual","raw","biologist"
