"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-0.154765245736813,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,0,10,115,-0.145797384459199,125,0.92,0.499999995652174,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-0.154462849551299,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-0.154765245736813,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,0,40,175,-0.145312200328246,215,0.813953488372093,0.499999997142857,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-0.154765245736813,16,0.875,0.499999964285717,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.154765245736813,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.154765245736813,2,0.5,0.4999995000005,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,24,0,28027,-0.069258598150226,28051,0.999144415528858,0.49957220774662,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,0,0,436,-0.113033184997366,436,1,0.499999998853211,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,1,0,120,0.116676566605804,121,0.991735537190083,0.495867764496961,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,0,0,19,-0.0476215025324621,19,1,0.499999973684212,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,0.636907967939779,2,1,0.499999750000125,"vaccine","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
