"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,1,0,28,-1.33887842364911,29,0.96551724137931,0.482758604042807,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,4,0,121,-1.29852756565976,125,0.968,0.483999996128,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-1.56661945813843,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-1.57486207859599,28,1,0.499999982142858,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,3,1,211,-1.41555795698021,215,0.981395348837209,0.492990651901913,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-1.78071848591695,16,1,0.499999968750002,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-1.75646360766423,14,1,0.499999964285717,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-2.44948023423736,2,1,0.499999750000125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",13159,56,14724,112,-0.0243984031450411,28051,0.473102563188478,0.569301483978552,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",222,0,212,2,0.0191352649628506,436,0.513761467889908,0.75576011807441,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",56,0,65,0,-0.0205849532263015,121,0.462809917355372,0.231404956765248,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",6,0,13,0,-0.382379906790911,19,0.315789473684211,0.157894728531856,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-2.33224758968531,2,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.468347056135136,1,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",5,0,73,0,-2.11889352287908,78,0.0641025641025641,0.0320512816403682,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",0,0,5,0,-0.516717836366274,5,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",103,0,106,1,0.0279284234373477,210,0.495238095238095,0.746410982075086,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",13,0,36,0,-0.258781892271605,49,0.26530612244898,0.132653058517285,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,-0.48328847161726,6,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,0,0,1,-1.17962410963578,1,1,0.4999995000005,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",31,1,66,6,-0.341796174243397,109,0.339449541284404,0.588365180132578,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",27,4,41,2,-0.0601521652388294,76,0.381578947368421,0.365196047734049,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",1,0,2,0,0.705826542398222,4,0.25,0.16666661111113,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,1,19,8,-0.171324851660835,40,0.2,0.444444395061734,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.553703117264567,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.249069469581555,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.0840407146246063,10,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.626607021495925,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,0.21436069743266,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.658973247066404,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,0.0648868366554525,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","biologist"
