"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,-0.731963085331322,29,1,0.499999982758621,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,5,0,120,-0.520866558650354,125,0.96,0.47999999616,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,-0.841400207841155,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,-0.800812460443227,28,1,0.499999982142858,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,1,1,213,-0.752215283103189,215,0.990697674418605,0.497663549076339,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,-0.834764874076881,16,1,0.499999968750002,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.817089779595616,14,1,0.499999964285717,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-1.11598825234129,2,1,0.499999750000125,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",27576,166,307,2,1.35121989544689,28051,0.983137856047913,0.500447234394177,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",429,2,5,0,1.38515561480817,436,0.98394495412844,0.494239630197605,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",119,0,2,0,1.2702707971828,121,0.983471074380165,0.491735533126153,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",18,0,1,0,1.17060250669058,19,0.947368421052632,0.473684185595569,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.346490389031938,2,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.436917434904838,1,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",17,0,61,0,0.216567388391269,78,0.217948717948718,0.108974357577252,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",2,0,3,0,0.265604445388009,5,0.4,0.199999960000008,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",183,1,26,0,0.8217311532524,210,0.871428571428571,0.437799040967469,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",32,0,17,0,0.47547557999795,49,0.653061224489796,0.326530605581008,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",0,0,6,0,0.130368930827188,6,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,0.676929144102017,1,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",90,6,7,1,1.02620337351391,109,0.834862385321101,0.535346082215032,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD16 Mono",65,6,3,0,1.02332943326609,76,0.855263157894737,0.477941169442042,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 CTL",0,0,3,0,-0.656830329187362,4,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 Naive",0,0,19,9,-0.850782928450527,40,0.225,0.499999944444451,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 Proliferating",1,0,5,0,-0.693972826837724,7,0.142857142857143,0.0833333194444468,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_1",0,0,18,4,-0.995524066739814,30,0.133333333333333,0.499999875000031,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_2",0,0,6,0,-0.860772513099314,10,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 TCM_3",0,0,18,2,-0.811684672577908,24,0.0833333333333333,0.499999750000125,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_1",0,0,1,1,-0.730134627281536,3,0.333333333333333,0.4999995000005,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD4 TEM_3",0,0,5,2,-0.983723135603017,9,0.222222222222222,0.499999750000125,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive",0,0,29,6,-0.913083332496707,44,0.136363636363636,0.499999916666681,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD8 Naive_2",0,0,1,0,-0.899468344945797,2,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
"DCs","CD8 Proliferating",0,0,3,0,-0.578844235233566,3,0,0,"vaccine","AUCell","LEUKOCYTE","gmm_dist_dual","raw","biologist"
