"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,0,29,1.58243582954916,29,1,0.499999982758621,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","B intermediate lambda",0,16,0,109,1.56465800486487,125,0.872,0.435999996512,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","B memory kappa",0,0,1,43,1.25623575595679,44,0.977272727272727,0.499999988372093,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","B memory lambda",0,0,0,28,1.2158231189688,28,1,0.499999982142858,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","B naive kappa",0,4,1,210,1.58349571374871,215,0.976744186046512,0.4906542033147,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","B naive lambda",0,0,0,16,1.39236408090816,16,1,0.499999968750002,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","Plasma",0,0,0,14,-0.463137111271704,14,1,0.499999964285717,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"B-cells","Plasmablast",0,0,0,2,-0.874123581726788,2,1,0.499999750000125,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD14 Mono",26671,162,1212,6,0.918382072983618,28051,0.951017789027129,0.496123469886443,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","CD16 Mono",431,2,3,0,1.22631623245947,436,0.988532110091743,0.496543777657733,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Doublet",116,0,5,0,1.0862205218299,121,0.958677685950413,0.479338839013729,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Eryth",16,0,3,0,0.74923424790986,19,0.842105263157895,0.421052609418284,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","HSPC",0,0,2,0,-0.721739557064903,2,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","NK_CD56bright",0,0,1,0,-0.382678188216498,1,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","Platelet",33,0,45,0,1.58922668636427,78,0.423076923076923,0.21153845882643,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC1",4,0,1,0,2.18710830390372,5,0.8,0.399999920000016,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_1",209,1,0,0,1.98105207351117,210,0.995238095238095,0.499999997607656,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","cDC2_2",48,0,1,0,1.81679012078154,49,0.979591836734694,0.489795908371512,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"Classical-Monocytes","pDC",5,0,1,0,2.75018248577594,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"DCs","ASDC_mDC",0,1,0,0,2.01813073753636,1,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
"DCs","CD14 Mono",93,7,4,0,0.852581592577191,109,0.853211009174312,0.479381438356892,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","biologist"
