"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,1.59929881768328,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",1,12,9,103,1.56748899589379,125,0.832,0.497826078062382,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,1.27710047495437,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,1.26548047571554,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",0,4,40,171,1.5799332266445,215,0.795348837209302,0.488571425779592,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,1.35604062860555,16,0.875,0.499999964285717,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-0.530499565847155,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-0.878821144390536,2,0.5,0.4999995000005,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,26861,0,1190,0.917630840144581,28051,0.04242273002745,0.0212113650129688,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,434,0,2,1.22809880771482,436,0.00458715596330275,0.00229357797639088,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,118,0,3,1.08614930969846,121,0.0247933884297521,0.012396694112424,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,15,0,4,0.714860562467134,19,0.210526315789474,0.105263152354571,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-0.717700187327503,2,1,0.499999750000125,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.00586364998550327,1,1,0.4999995000005,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,35,0,43,1.59579604197484,78,0.551282051282051,0.275641022107166,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,4,0,1,2.17238104850614,5,0.2,0.099999980000004,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,210,0,0,1.96861720581126,210,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,48,0,1,1.85282048515891,49,0.0204081632653061,0.0102040814244065,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_dual"
