"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,2,27,1.5814340965647,29,0.931034482758621,0.499999981481482,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","B intermediate lambda",4,14,14,93,1.57626218824687,125,0.776,0.545690540129118,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","B memory kappa",0,0,5,39,1.25636686424518,44,0.886363636363636,0.499999987179488,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","B memory lambda",0,0,2,26,1.34122668909671,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","B naive kappa",0,4,48,163,1.60049705983012,215,0.758139534883721,0.488023949173509,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","B naive lambda",0,0,3,13,1.36017089084487,16,0.8125,0.499999961538465,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","Plasma",0,0,6,8,-0.488773817791011,14,0.571428571428571,0.499999937500008,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"B-cells","Plasmablast",0,0,1,1,-0.846178046262731,2,0.5,0.4999995000005,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","CD14 Mono",0,26887,0,1164,0.917191682406509,28051,0.0414958468503797,0.0207479234244502,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","CD16 Mono",0,433,0,3,1.22727576071354,436,0.00688073394495413,0.00344036696458631,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Doublet",0,118,0,3,1.08806801998109,121,0.0247933884297521,0.012396694112424,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Eryth",0,17,0,2,0.731785454239734,19,0.105263157894737,0.0526315761772855,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","HSPC",0,0,0,2,-0.80027545289615,2,1,0.499999750000125,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.59592595592083,1,1,0.4999995000005,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","Platelet",0,35,0,43,1.60580675363136,78,0.551282051282051,0.275641022107166,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC1",0,4,0,1,2.19384563418013,5,0.2,0.099999980000004,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC2_1",0,210,0,0,1.97194886356158,210,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","cDC2_2",0,48,0,1,1.8359690615893,49,0.0204081632653061,0.0102040814244065,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"Classical-Monocytes","pDC",0,5,0,1,2.71528250352568,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","ASDC_mDC",0,1,0,0,2.05315142029509,1,0,0,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD14 Mono",51,51,5,2,0.83474123284467,109,0.486238532110092,0.474225058898069,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD16 Mono",50,21,3,2,0.663590122322342,76,0.684210526315789,0.515176363286789,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 CTL",0,0,0,4,-0.716904176389981,4,1,0.499999875000031,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 Naive",0,0,0,40,-0.762322856874685,40,1,0.4999999875,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 Proliferating",1,0,3,3,-0.692827041573345,7,0.571428571428571,0.624999802083397,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 TCM_1",0,0,1,29,-0.63446385609466,30,0.966666666666667,0.499999982758621,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 TCM_2",0,0,4,6,-0.868299778005661,10,0.6,0.499999916666681,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 TCM_3",0,0,1,23,-0.708470266162989,24,0.958333333333333,0.499999978260871,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
"DCs","CD4 TEM_1",0,0,0,3,-0.796035454312089,3,1,0.499999833333389,"vaccine","AUCell","MANNE_DN","gmm_dist_dual","raw","gmm_single"
